recid,crhash,chash,start,end
CP049504.1,dfb3446681ebd1bc470b,930adc3aa1d394dff59b,34906,35110
CP049504.1,f44b41a4c15da2b72a76,930adc3aa1d394dff59b,35121,35394
CP049504.1,24c69798bec6be16bdb7,930adc3aa1d394dff59b,38854,39617
CP049504.1,8c2dbc760bf93bf18b44,930adc3aa1d394dff59b,57374,57720
CP049504.1,296bac4b180c0da13bf1,930adc3aa1d394dff59b,137199,137418
CP049504.1,e25a983ca82569fae95b,930adc3aa1d394dff59b,280497,280933
CP049504.1,91cd05380620181dc949,930adc3aa1d394dff59b,624859,625396
CP049504.1,423c060cca5a8809c8d1,930adc3aa1d394dff59b,633159,633595
CP049504.1,4aa94793a6bb686d93a4,930adc3aa1d394dff59b,796120,796255
CP049504.1,33643fdeb041ab2842e3,930adc3aa1d394dff59b,837097,837175
CP049504.1,a8850fb5c3fc9bec23eb,930adc3aa1d394dff59b,842552,842814
CP049504.1,6a4294f548aae16c000b,930adc3aa1d394dff59b,849840,849920
CP049504.1,f55547dc0c8991eafbba,930adc3aa1d394dff59b,868957,869690
CP049504.1,bdfa523d24b9c69c580d,930adc3aa1d394dff59b,886107,886191
CP049504.1,c732bd407ad4b4199339,930adc3aa1d394dff59b,900672,900823
CP049504.1,fd61d9863a825ab8f074,930adc3aa1d394dff59b,1068341,1068635
CP049504.1,45031a4589d6b1cf5998,930adc3aa1d394dff59b,1149188,1149279
CP049504.1,068e292cf642f9940253,930adc3aa1d394dff59b,1154671,1154759
CP049504.1,e2f2148a8794fbff92b3,930adc3aa1d394dff59b,1227577,1227731
CP049504.1,f0bc1894d746e8d6b6e3,930adc3aa1d394dff59b,1709276,1709415
CP049504.1,8ad36ea3b1b0a0cdf5af,930adc3aa1d394dff59b,1970034,1970249
CP049504.1,f9d6e76081a16edced5c,930adc3aa1d394dff59b,2057658,2057749
CP049504.1,dda0715d756c9bceea9d,930adc3aa1d394dff59b,2156503,2156682
CP049504.1,82c381b143b1ad8975af,930adc3aa1d394dff59b,2292338,2292423
CP049504.1,4fb14d50087b36f0964c,930adc3aa1d394dff59b,2463032,2463131
CP049504.1,4afb27b75b0f5c883481,930adc3aa1d394dff59b,2514537,2514697
CP049504.1,d54f1baefd536dddaae4,930adc3aa1d394dff59b,2782720,2783185
CP049506.1,d57a2c4a8f031e7afc96,40edf053208b6de4d306,27380,27498
